word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
长,狭窄,不相似,非常不相似,非常不相似,不相似,非常不相似,非常不相似,不相似,不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似
内疚,羞愧,相似,相似,非常相似,相似,相似,非常相似,相似,非常相似,相似,相似,相似,相似,相似,非常相似,相似
暴力,被动,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似
闷,平庸,中立,不相似,不相似,中立,不相似,不相似,中立,中立,中立,不相似,中立,不相似,中立,不相似,不相似
害羞,昂贵,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似
不同,正常,中立,不相似,中立,不相似,不相似,不相似,不相似,中立,不相似,不相似,不相似,非常不相似,非常不相似,不相似,不相似
自豪,傲慢,相似,中立,相似,中立,中立,中立,中立,相似,中立,中立,中立,中立,中立,相似,中立
愉快,快乐,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似
粗糙,无礼,中立,中立,不相似,不相似,中立,不相似,不相似,中立,中立,中立,不相似,不相似,不相似,不相似,不相似
坚硬,密度大,中立,中立,中立,中立,不相似,中立,不相似,中立,中立,中立,中立,中立,中立,中立,中立
无实体,心灵,中立,不相似,中立,中立,不相似,中立,中立,不相似,不相似,不相似,中立,不相似,不相似,不相似,不相似
开心,高兴,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似
开心,疯狂,不相似,不相似,不相似,不相似,不相似,不相似,不相似,不相似,不相似,不相似,不相似,不相似,不相似,不相似,不相似
合法,允许,相似,相似,相似,相似,相似,相似,相似,相似,相似,相似,相似,相似,非常相似,相似,相似
和蔼,残酷,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似
胆大,自豪,中立,不相似,不相似,中立,不相似,不相似,不相似,中立,不相似,不相似,不相似,不相似,不相似,不相似,不相似
坏,平庸,中立,不相似,中立,中立,不相似,不相似,中立,中立,不相似,不相似,不相似,不相似,中立,不相似,中立
煮熟的,水煮,非常相似,非常相似,非常相似,非常相似,相似,相似,相似,非常相似,非常相似,非常相似,相似,非常相似,非常相似,非常相似,相似
残忍,不公平,相似,中立,不相似,相似,中立,中立,相似,相似,相似,中立,相似,中立,中立,中立,中立
不需要,必须,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,不相似,非常不相似,非常不相似
沈闷,枯燥,非常相似,相似,非常相似,相似,相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,相似,非常相似,非常相似,非常相似
自由,无辜,中立,不相似,不相似,不相似,不相似,不相似,不相似,不相似,不相似,不相似,不相似,不相似,不相似,不相似,不相似
善良,大方,相似,相似,相似,相似,相似,相似,相似,相似,相似,相似,中立,中立,相似,中立,中立
弱,辣,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似
兴奋,受惊,不相似,不相似,中立,不相似,中立,中立,不相似,不相似,中立,中立,中立,不相似,中立,不相似,中立
无知,频繁,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似
怪诞,奇怪,相似,相似,相似,相似,相似,相似,相似,相似,相似,相似,相似,相似,非常相似,相似,相似
人造,假,相似,相似,相似,相似,相似,相似,非常相似,相似,非常相似,相似,相似,中立,相似,中立,相似
电动,甜,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似,非常不相似
婚外,不可說出口的,中立,中立,中立,相似,相似,不相似,中立,相似,相似,中立,非常相似,中立,相似,相似,中立
笨,傻,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似
个人,私人,非常相似,相似,相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,非常相似,相似,相似,非常相似,非常相似
