word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
长,狭窄,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1
内疚,羞愧,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5
暴力,被动,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
闷,平庸,1,0,1,2,1,2,1,1,1,1,1,2,1,1,1
害羞,昂贵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
不同,正常,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1
自豪,傲慢,3,3,3,3,3,3,2,3,3,3,3,4,3,3,3
愉快,快乐,6,6,6,6,6,5,6,6,6,5,6,6,5,5,5
粗糙,无礼,2,2,2,3,2,3,1,2,2,2,2,2,1,2,2
坚硬,密度大,2,2,3,3,3,4,2,3,3,2,3,3,2,3,3
无实体,心灵,1,1,2,2,2,2,1,2,2,1,2,2,1,2,2
开心,高兴,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6
开心,疯狂,1,2,2,1,1,2,2,2,2,2,1,2,2,1,2
合法,允许,5,5,4,4,5,5,4,4,4,4,5,5,4,4,4
和蔼,残酷,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
胆大,自豪,2,2,2,2,2,2,1,3,2,2,2,3,2,2,2
坏,平庸,1,1,2,2,2,2,2,2,1,2,1,1,2,1,1
煮熟的,水煮,5,4,5,5,5,4,5,5,5,5,4,4,5,5,5
残忍,不公平,3,1,3,2,3,3,2,3,3,3,3,3,3,3,3
不需要,必须,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
沈闷,枯燥,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5
自由,无辜,1,1,1,1,2,1,1,2,1,1,1,2,1,2,2
善良,大方,4,3,4,3,3,4,3,4,3,4,3,3,3,4,4
弱,辣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
兴奋,受惊,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3
无知,频繁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
怪诞,奇怪,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5
人造,假,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
电动,甜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
婚外,不可說出口的,3,3,3,3,3,3,4,4,3,3,5,3,3,3,3
笨,傻,5,5,5,6,5,5,6,6,6,6,5,5,5,5,6
个人,私人,4,5,5,5,5,5,5,5,5,4,5,5,4,4,5
瘦,苗条,5,5,5,5,5,6,5,5,5,5,5,4,5,5,5
奇怪,古怪,6,5,6,6,5,6,6,6,5,5,5,6,5,6,6
灵活,松动,1,2,2,2,2,2,3,2,2,1,2,2,2,2,2
强大,强大,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
大,柔韧,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
脆弱,简单,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2
粘人,缺乏信心,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
显著的,明显,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5
暴力,柔软,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
害怕,急,1,1,2,2,2,2,2,1,1,1,2,2,2,1,2
非法,不道德,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4
严酷,残酷,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5
粗糙,丑陋,3,2,3,2,3,3,3,2,2,2,2,2,2,3,3
难以置信,普通,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
尖,平滑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
容易,灵活,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2
满载,沉重,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
轻松,强调,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中性,未拿定主意,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1
闻名,国民,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2
乱,清洁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新,新鲜,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5
孩子气,傻,3,4,3,3,3,3,3,3,3,3,3,2,3,3,4
愉快,精彩,3,3,3,2,2,3,4,2,3,2,2,2,2,3,3
旧,杂,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
羞耻,心烦,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
普通,冷,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
生病,疯,2,2,2,2,2,2,2,3,2,3,3,3,2,2,2
每月,每周,4,3,4,4,3,3,4,3,3,4,4,4,2,4,3
仁慈地,温和地,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5
不同的,奇怪地,2,1,1,1,2,2,1,2,2,2,2,2,1,2,2
和平地,混乱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
好心地,仁慈地,6,6,6,6,5,6,6,5,6,5,5,6,5,5,5
显然,不显眼地,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0
大声地,微妙地,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
异常,奇怪地,4,4,5,5,4,5,4,4,4,5,4,5,4,4,4
谨慎地,有礼貌地,3,4,3,3,3,3,4,3,4,4,3,3,3,4,4
异常地,一般,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
在家里,在别处,4,2,2,2,2,2,3,2,3,3,3,3,2,3,3
理想地,实际地,1,0,2,1,0,1,0,1,1,2,2,1,1,1,1
通常,日常,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5
准确地,积极地,1,1,2,1,1,0,1,1,1,1,0,1,1,0,1
今天晚上,今天,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4
两次,总是,2,2,1,2,1,1,1,2,1,1,1,2,2,1,2
最近,现实地,1,1,1,1,1,0,1,1,2,0,0,1,1,1,1
粗糙地,大致,4,3,4,3,3,4,3,4,3,3,3,4,3,4,3
死气沉沉的,高高兴兴地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
稍微地,大致,3,3,4,4,4,4,3,4,3,3,4,5,3,3,3
大致地,容易地,1,1,1,2,2,0,1,1,1,1,1,2,1,1,1
准确地,精确地,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
两次,多,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2
紧紧地,难以置信地,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0
有时,每当,2,3,2,3,2,2,2,3,2,2,2,3,2,2,3
极其,非常,6,5,6,6,5,5,6,6,5,6,5,6,6,6,5
看来,显然,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2
紧张地,焦急地,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
通常,很少地,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2
有意义地,特别,2,1,2,2,2,1,1,2,2,1,1,3,2,2,1
重要地,真实地,3,2,2,3,2,2,2,3,2,2,2,3,3,2,2
自豪的,谦逊地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香芹,松饼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
女儿,孩子,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
闪电攻击,攻击,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4
战斗,好斗,4,3,3,4,3,4,3,5,3,3,3,4,3,4,3
作曲家,作家,3,3,2,3,3,2,3,3,2,3,2,2,3,3,3
主机板,主板,6,6,6,5,6,5,5,5,6,6,6,6,6,6,5
船,车,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
无穷,零,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1
床,家俱,3,4,3,4,3,3,4,4,4,3,3,3,4,3,3
诗,韵律,4,3,4,3,4,3,3,2,3,4,3,3,5,4,4
肚子,卧室,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
岩浆,火山,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
碗,尾巴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奖学金,学费,3,4,3,4,3,3,4,4,3,4,4,3,4,4,4
政治家,总统,4,4,4,5,4,4,5,5,4,5,5,4,5,5,5
泡,肥皂泡沫,5,5,5,4,5,4,4,4,5,4,4,4,4,5,4
节奏,旋律,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5
校园,大学,5,4,5,5,5,5,5,5,4,5,5,5,5,5,4
锡,金属,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5
草,刀口,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
多面体,演员,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日期,日历,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
门,走廊,3,3,2,3,3,3,3,2,3,2,2,3,3,2,3
皇帝,宪法,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
丰富,许多,3,3,3,4,4,4,3,3,4,4,3,3,4,4,4
原木,沐浴,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
雨,薄雾,2,3,3,3,3,2,3,3,3,3,3,2,3,3,3
苹果,柠檬,4,3,4,4,4,4,4,2,3,3,4,3,4,3,3
幸福,悲伤,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
走道,大厅,3,3,2,2,3,3,3,3,2,3,3,2,2,2,3
红酒,酒,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5
导演,摄影,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
老鹰,猎鹰,5,4,5,5,5,5,5,5,4,5,5,4,5,5,5
周末,种族,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
书,圣经,3,4,4,3,4,4,4,4,4,4,4,3,3,3,4
财富,名誉,2,3,2,3,2,3,2,3,3,3,3,2,2,2,3
尾巴,后部,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4
手臂,骨头,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2
海滩,暗礁,2,2,2,1,3,2,2,2,2,2,2,2,2,3,2
过道,走廊,5,5,6,5,5,6,6,5,5,5,6,5,5,5,5
薄荷,博物馆,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
游戏,乐趣,4,3,4,3,4,3,4,4,3,3,3,2,3,3,4
枪,大炮,3,3,3,3,3,4,3,4,3,4,3,4,3,3,3
深度,大小,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
作者,创造者,4,4,5,5,5,5,4,5,5,5,4,4,5,5,5
合金,钢,4,5,5,4,4,4,4,5,4,4,4,4,4,4,4
威士忌酒,杜松子酒,4,3,4,3,4,3,4,4,3,3,4,3,3,4,4
罐,瓶子,3,3,3,2,3,3,3,3,2,4,3,3,3,3,3
报纸,资料,3,3,2,3,3,2,2,4,3,3,3,3,2,2,3
航空,飞行,5,4,5,4,5,5,4,5,5,5,5,4,5,5,5
汽车,软管,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
募捐,发展,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
房间,大厦,2,2,2,2,2,2,2,1,1,2,1,1,3,2,1
树枝,手臂,2,3,3,2,2,3,3,2,2,3,3,2,2,2,2
法庭,正义,4,4,4,4,3,4,4,3,3,4,4,4,4,3,4
女孩,小孩,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
雪,风暴,4,4,3,3,3,4,3,4,3,3,2,3,3,3,3
音乐,旋律,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5
公主,饼干,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
任务,女人,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1
猫,狮子,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4
电影,剧院,4,4,4,3,3,3,3,3,4,4,3,4,4,4,3
态度,自信,3,3,3,3,3,3,4,3,3,4,3,2,3,3,2
老师,教练,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3
续集,相机,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
意外,书,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
文章,杂志,4,5,4,5,4,5,5,4,5,5,4,4,4,4,5
母鸡,火鸡,4,4,4,3,4,4,4,3,4,4,3,2,3,3,3
缺席,在场,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
客串角色,性能,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0
便士,便宜货,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1
床,医院,3,2,2,1,2,2,2,1,1,2,2,1,2,1,2
牛,山羊,4,4,4,4,5,5,4,4,4,4,4,3,4,4,4
血液,骨髓,5,5,5,3,4,4,5,5,3,5,4,3,4,4,4
足球,英式足球,5,6,6,5,6,5,6,6,6,6,5,5,5,5,6
尖顶,教堂,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3
木,原木,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
车,高速公路,2,2,2,3,3,2,2,2,2,1,3,2,2,2,2
章,选择,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1
幸福,和平,4,4,4,4,3,4,3,4,3,4,4,3,3,3,4
喷嘴,流体,3,3,3,3,4,3,4,3,4,2,4,3,3,3,3
洞,协议,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
踝,窗口,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,培根,3,3,3,3,4,3,3,4,4,3,4,4,4,4,3
小说,作家,4,4,4,4,5,4,4,5,5,4,5,4,4,5,4
病人,复诊,4,4,4,4,4,5,4,3,4,3,5,5,5,4,3
大灾变,火,3,3,3,3,2,3,3,2,3,2,4,3,3,3,2
冠军,优胜者,5,6,6,5,6,5,6,6,6,6,6,6,6,6,6
侵略,敌意,4,5,4,4,5,4,4,4,5,5,5,4,4,5,5
协议,条件,3,3,3,2,4,3,3,3,4,3,3,3,2,4,3
滑雪板,滑雪,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
工作者,雇主,2,3,3,3,3,2,1,2,3,3,3,2,2,3,2
蔗糖,糖类,4,5,5,4,5,5,5,5,5,5,5,4,5,4,5
