word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
开心,高兴,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
孩子气,傻,3,2,2,2,3,2,2,2,2,2,3,2,2,3,2
生病,疯,2,3,2,2,2,3,2,2,3,2,2,2,2,2,2
残忍,不公平,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2
怪诞,奇怪,4,4,5,4,5,5,4,4,4,4,5,5,4,4,5
愉快,精彩,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3
笨,傻,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
不需要,必须,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
坏,平庸,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
善良,大方,3,3,2,3,3,2,3,3,3,3,2,3,3,3,3
自由,无辜,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1
害怕,急,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
难以置信,普通,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
强大,强大,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
无实体,心灵,2,2,1,2,2,2,2,2,1,1,1,2,1,2,2
有意义地,特别,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1
今天晚上,今天,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
有时,每当,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2
仁慈地,温和地,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
紧张地,焦急地,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
理想地,实际地,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1
自豪的,谦逊地,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1
紧紧地,难以置信地,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
音节,词元,2,2,2,2,2,2,2,2,3,2,2,2,2,3,1
门,走廊,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
领导,经理,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4
分界线,国境,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4
生日,日期,4,4,3,3,4,3,3,4,3,4,3,3,4,3,4
男人,嫌疑人,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
战斗,好斗,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
周末,种族,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
衣服,布料,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
仆人,奴隶,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
床,家俱,4,3,4,4,4,4,4,4,4,4,4,3,3,4,3
伞,暖炉,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
财富,声望,2,3,3,2,3,2,3,2,3,3,2,3,2,3,3
契约,协议,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
天神,魔鬼,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2
冬天,夏天,2,2,2,2,2,2,3,2,3,2,1,3,2,1,2
下面,侧面,2,3,2,3,3,2,2,3,2,3,2,2,3,2,3
智力,洞察力,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
鼻子,嘴巴,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
多面体,演员,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
男孩,孩子,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
狗,马,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2
容器,老鼠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
尾巴,后部,5,4,4,4,4,4,3,4,4,3,4,4,4,4,4
爆玉米花,电影,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
皇帝,宪法,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1
便条,作业,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
牛,家牛,5,6,5,5,5,5,5,5,5,6,5,6,5,6,5
感觉,直觉,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4
老鹰,猎鹰,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5
一分钱,尺寸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
裁判官,法官,6,6,6,5,5,6,6,5,5,5,6,6,5,5,5
人,一分钱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
书,正文,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3
猫,狮子,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
冠军,优胜者,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6
河流,大海,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
云,窗口,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
行动,课程,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0
红酒,酒,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
水平,得分,3,3,3,2,2,2,3,2,2,3,2,3,2,2,3
尖顶,教堂,2,2,2,3,2,2,3,3,2,2,2,3,3,2,2
公式,日志,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
自行车,卧室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
血液,肉,3,2,2,3,3,2,2,3,3,2,3,2,2,2,3
骨头,牙齿,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4
规则,惯例,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
音乐,旋律,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
章,选择,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
价值,价格,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
吉他,鼓,3,2,2,4,3,3,3,3,2,3,4,3,3,3,3
花,灌木,3,3,4,2,3,3,3,4,3,2,3,2,3,3,3
床,毯子,3,2,2,3,4,3,2,3,2,2,3,2,3,3,3
洞,协议,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大麻,草药,3,3,3,4,4,3,3,3,3,4,3,4,4,4,3
协议,条件,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2
男人,武士,3,4,4,3,4,3,3,4,3,3,3,3,3,3,3
蝙蝠,吸血鬼,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3
逻辑,算术,1,1,2,3,2,3,2,3,2,2,3,2,1,2,2
威士忌酒,杜松子酒,4,5,4,4,4,4,4,5,4,5,4,4,4,4,4
飞机,喷气式飞机,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
肾,器官,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
后世,炼狱,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
财富,名誉,3,2,3,2,2,3,3,2,3,3,3,3,3,2,3
蜥蜴,鳄鱼,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
士兵,和平,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
降低,减少,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
攻击,加剧,2,2,2,1,2,1,2,1,2,2,1,2,2,1,1
假设,预测,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
逃跑,逃走,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6
装作,似乎,3,4,3,3,4,3,3,3,3,4,4,4,3,4,3
戏弄,伤害,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
承诺,发誓,5,5,4,5,5,4,5,5,5,5,4,5,4,5,4
发光,照耀,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5
收藏,保存,5,4,5,5,4,4,5,5,5,5,5,5,4,5,5
收到,接受,4,4,4,4,5,5,4,5,5,5,4,4,4,5,4
生活,生存,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
走,发送,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1
花费,节约,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
问,求情,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2
离开,忽略,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1
了解,原谅,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
装作,想像,1,2,2,2,2,1,2,2,1,2,1,1,2,2,1
