,word1,word2,pred_sl,pred_sd,act_sl,act_sd,pred_act_gap
0,闷,平庸,1.87,0.35,0.91,1.14,0.9600000000000001
1,害羞,昂贵,0.0,0.0,0.0,0.0,0.0
2,不同,正常,0.87,0.35,0.0,0.0,0.87
3,自豪,傲慢,2.93,0.46,2.91,1.56,0.020000000000000018
4,愉快,快乐,5.67,0.49,4.91,1.03,0.7599999999999998
5,粗糙,无礼,1.8,0.56,0.45,0.85,1.35
6,坚硬,密度大,2.6,0.51,2.55,2.04,0.050000000000000266
7,无实体,心灵,1.6,0.63,2.64,1.95,-1.04
8,开心,高兴,6.0,0.0,5.55,0.53,0.4500000000000002
9,开心,疯狂,2.07,0.26,0.91,1.49,1.1599999999999997
10,合法,允许,4.4,0.51,2.55,1.26,1.8500000000000005
11,和蔼,残酷,0.07,0.26,0.0,0.0,0.07
12,胆大,自豪,1.67,0.49,0.73,1.07,0.94
13,坏,平庸,1.93,0.26,0.09,0.32,1.8399999999999999
14,煮熟的,水煮,5.0,0.38,2.55,1.65,2.45
15,残忍,不公平,2.8,0.68,0.45,0.67,2.3499999999999996
16,不需要,必须,0.13,0.35,0.18,0.63,-0.04999999999999999
17,沈闷,枯燥,5.13,0.35,3.91,2.0,1.2199999999999998
18,自由,无辜,1.67,0.49,0.09,0.32,1.5799999999999998
19,善良,大方,3.53,0.52,2.0,1.52,1.5299999999999998
20,弱,辣,0.0,0.0,0.0,0.0,0.0
21,兴奋,受惊,3.0,0.38,0.55,1.58,2.45
22,无知,频繁,0.0,0.0,0.09,0.32,-0.09
23,怪诞,奇怪,5.0,0.0,4.64,1.08,0.3600000000000003
24,人造,假,4.27,0.59,3.0,1.2,1.2699999999999996
25,电动,甜,0.0,0.0,0.0,0.0,0.0
26,婚外,不可說出口的,3.13,0.83,1.73,2.1,1.4
27,笨,傻,5.67,0.49,5.27,0.67,0.40000000000000036
28,个人,私人,4.93,0.26,4.27,1.07,0.6600000000000001
29,瘦,苗条,5.4,0.51,4.45,1.35,0.9500000000000002
30,奇怪,古怪,5.33,0.49,5.45,0.53,-0.1200000000000001
31,灵活,松动,2.07,0.26,1.82,1.37,0.24999999999999978
32,强大,强大,6.0,0.0,4.36,0.7,1.6399999999999997
33,大,柔韧,0.73,0.46,0.27,0.67,0.45999999999999996
34,脆弱,简单,1.4,0.51,0.18,0.63,1.22
35,粘人,缺乏信心,2.0,0.53,0.09,0.32,1.91
36,显著的,明显,5.47,0.52,4.18,2.21,1.29
37,暴力,柔软,0.0,0.0,0.0,0.0,0.0
38,害怕,急,1.4,0.63,0.18,0.42,1.22
39,非法,不道德,4.13,0.52,2.18,1.23,1.9499999999999997
40,严酷,残酷,5.13,0.35,4.27,1.49,0.8600000000000003
41,粗糙,丑陋,3.0,0.53,0.45,0.97,2.55
42,难以置信,普通,0.2,0.41,0.0,0.0,0.2
43,尖,平滑,0.0,0.0,0.18,0.63,-0.18
44,容易,灵活,2.07,0.46,0.45,0.85,1.6199999999999999
45,满载,沉重,3.27,0.59,0.73,0.97,2.54
46,轻松,强调,0.27,0.46,0.0,0.0,0.27
47,中性,未拿定主意,3.27,0.7,0.64,1.49,2.63
48,闻名,国民,1.13,0.35,0.0,0.0,1.13
49,乱,清洁,0.0,0.0,0.09,0.0,-0.09
50,新,新鲜,4.93,0.26,4.0,0.95,0.9299999999999997
