,word1,word2,pred_sl,pred_sd,act_sl,act_sd,pred_act_gap
0,长,狭窄,0.6,0.51,0.27,0.32,0.32999999999999996
1,内疚,羞愧,5.07,0.26,4.36,1.34,0.71
2,暴力,被动,0.07,0.26,0.0,0.0,0.07
3,闷,平庸,1.13,0.52,0.91,1.14,0.21999999999999986
4,害羞,昂贵,0.0,0.0,0.0,0.0,0.0
5,不同,正常,0.8,0.41,0.0,0.0,0.8
6,自豪,傲慢,3.0,0.38,2.91,1.56,0.08999999999999986
7,愉快,快乐,5.67,0.49,4.91,1.03,0.7599999999999998
8,粗糙,无礼,2.0,0.53,0.45,0.85,1.55
9,坚硬,密度大,2.73,0.59,2.55,2.04,0.18000000000000016
10,无实体,心灵,1.67,0.49,2.64,1.95,-0.9700000000000002
11,开心,高兴,5.93,0.26,5.55,0.53,0.3799999999999999
12,开心,疯狂,1.67,0.49,0.91,1.49,0.7599999999999999
13,合法,允许,4.4,0.51,2.55,1.26,1.8500000000000005
14,和蔼,残酷,0.0,0.0,0.0,0.0,0.0
15,胆大,自豪,2.07,0.46,0.73,1.07,1.3399999999999999
16,坏,平庸,1.53,0.52,0.09,0.32,1.44
17,煮熟的,水煮,4.73,0.46,2.55,1.65,2.1800000000000006
18,残忍,不公平,2.73,0.59,0.45,0.67,2.28
19,不需要,必须,0.27,0.46,0.18,0.63,0.09000000000000002
20,沈闷,枯燥,4.87,0.35,3.91,2.0,0.96
21,自由,无辜,1.33,0.49,0.09,0.32,1.24
22,善良,大方,3.47,0.52,2.0,1.52,1.4700000000000002
23,弱,辣,0.0,0.0,0.0,0.0,0.0
24,兴奋,受惊,2.13,0.35,0.55,1.58,1.5799999999999998
25,无知,频繁,0.0,0.0,0.09,0.32,-0.09
26,怪诞,奇怪,4.87,0.35,4.64,1.08,0.23000000000000043
27,人造,假,3.93,0.26,3.0,1.2,0.9300000000000002
28,电动,甜,0.0,0.0,0.0,0.0,0.0
29,婚外,不可說出口的,3.27,0.59,1.73,2.1,1.54
30,笨,傻,5.4,0.51,5.27,0.67,0.13000000000000078
31,个人,私人,4.73,0.46,4.27,1.07,0.46000000000000085
32,瘦,苗条,5.0,0.38,4.45,1.35,0.5499999999999998
33,奇怪,古怪,5.6,0.51,5.45,0.53,0.14999999999999947
34,灵活,松动,1.93,0.46,1.82,1.37,0.10999999999999988
35,强大,强大,6.0,0.0,4.36,0.7,1.6399999999999997
36,大,柔韧,0.33,0.49,0.27,0.67,0.06
37,脆弱,简单,1.2,0.41,0.18,0.63,1.02
38,粘人,缺乏信心,1.93,0.26,0.09,0.32,1.8399999999999999
