,word1,word2,pred_sl,pred_sd,act_sl,act_sd,pred_act_gap
41,鼻子,嘴巴,3.93,0.26,0.09,0.32,3.8400000000000003
87,蜥蜴,鳄鱼,4.0,0.0,0.45,0.97,3.55
98,收到,接受,4.4,0.51,0.91,1.41,3.49
93,装作,似乎,3.4,0.51,0.27,0.95,3.13
68,骨头,牙齿,3.73,0.46,0.64,0.97,3.09
57,猫,狮子,3.93,0.26,0.91,1.62,3.02
79,男人,武士,3.27,0.46,0.55,0.7,2.7199999999999998
75,床,毯子,2.67,0.62,0.09,0.32,2.58
73,吉他,鼓,2.93,0.59,0.36,0.7,2.5700000000000003
82,威士忌酒,杜松子酒,4.2,0.41,1.64,1.65,2.5600000000000005
31,衣服,布料,4.0,0.0,1.45,1.58,2.55
99,生活,生存,4.93,0.26,2.45,1.35,2.4799999999999995
80,蝙蝠,吸血鬼,3.0,0.38,0.55,0.85,2.45
112,创建,做,3.13,0.35,0.82,1.1,2.31
74,花,灌木,2.93,0.59,0.64,0.95,2.29
39,下面,侧面,2.47,0.52,0.18,0.42,2.29
117,混合,联合,3.8,0.41,1.64,1.77,2.16
25,领导,经理,4.13,0.35,2.0,0.99,2.13
67,血液,肉,2.47,0.52,0.36,0.67,2.1100000000000003
27,生日,日期,3.47,0.52,1.45,0.71,2.0200000000000005
38,冬天,夏天,2.07,0.59,0.09,0.32,1.9799999999999998
35,财富,声望,2.6,0.51,0.64,1.57,1.96
54,裁判官,法官,5.47,0.52,3.55,1.49,1.92
59,河流,大海,4.0,0.0,2.09,1.37,1.9100000000000001
8,坏,平庸,1.93,0.26,0.09,0.32,1.8399999999999999
107,离开,徘徊,1.93,0.26,0.09,0.32,1.8399999999999999
11,害怕,急,2.0,0.0,0.18,0.42,1.82
37,天神,魔鬼,1.87,0.35,0.09,0.32,1.78
63,水平,得分,2.47,0.52,0.73,1.48,1.7400000000000002
50,牛,家牛,5.27,0.46,3.55,1.07,1.7199999999999998
52,老鹰,猎鹰,4.87,0.35,3.18,1.94,1.69
86,财富,名誉,2.67,0.49,1.0,1.29,1.67
17,有时,每当,2.2,0.41,0.55,1.35,1.6500000000000001
16,今天晚上,今天,4.0,0.0,2.36,1.51,1.6400000000000001
43,男孩,孩子,5.0,0.0,3.36,1.26,1.6400000000000001
18,仁慈地,温和地,5.0,0.0,3.36,1.71,1.6400000000000001
24,门,走廊,2.0,0.0,0.36,0.42,1.6400000000000001
13,强大,强大,6.0,0.0,4.36,0.7,1.6399999999999997
64,尖顶,教堂,2.33,0.49,0.73,1.26,1.6
40,智力,洞察力,3.93,0.26,2.36,1.49,1.5700000000000003
113,做,赚,1.93,0.26,0.36,0.84,1.5699999999999998
69,规则,惯例,4.07,0.26,2.55,0.97,1.5200000000000005
47,爆玉米花,电影,1.93,0.26,0.45,0.97,1.48
83,飞机,喷气式飞机,5.0,0.0,3.55,1.96,1.4500000000000002
