,word1,word2,pred_sl,pred_sd,act_sl,act_sd,pred_act_gap
0,长,狭窄,0.4,0.69,0.27,0.32,0.13
1,内疚,羞愧,4.9,0.69,4.36,1.34,0.54
2,暴力,被动,0.0,0.0,0.0,0.0,0.0
3,闷,平庸,2.2,0.77,0.91,1.14,1.29
4,害羞,昂贵,0.0,0.0,0.0,0.0,0.0
5,不同,正常,1.6,0.89,0.0,0.0,1.6
6,自豪,傲慢,3.4,0.69,2.91,1.56,0.48999999999999977
7,愉快,快乐,6.0,0.0,4.91,1.03,1.0899999999999999
8,粗糙,无礼,2.1,0.76,0.45,0.85,1.6500000000000001
9,坚硬,密度大,2.8,0.53,2.55,2.04,0.25
10,无实体,心灵,2.1,0.76,2.64,1.95,-0.54
11,开心,高兴,6.0,0.0,5.55,0.53,0.4500000000000002
12,开心,疯狂,1.5,0.0,0.91,1.49,0.59
13,合法,允许,4.6,0.39,2.55,1.26,2.05
14,和蔼,残酷,0.0,0.0,0.0,0.0,0.0
15,胆大,自豪,1.8,0.62,0.73,1.07,1.07
16,坏,平庸,2.2,0.77,0.09,0.32,2.1100000000000003
17,煮熟的,水煮,5.5,0.73,2.55,1.65,2.95
18,残忍,不公平,3.5,0.93,0.45,0.67,3.05
19,不需要,必须,0.1,0.39,0.18,0.63,-0.07999999999999999
20,沈闷,枯燥,5.6,0.69,3.91,2.0,1.6899999999999995
21,自由,无辜,1.6,0.39,0.09,0.32,1.51
22,善良,大方,4.1,0.69,2.0,1.52,2.0999999999999996
23,弱,辣,0.0,0.0,0.0,0.0,0.0
24,兴奋,受惊,2.3,0.77,0.55,1.58,1.7499999999999998
25,无知,频繁,0.0,0.0,0.09,0.32,-0.09
26,怪诞,奇怪,4.6,0.39,4.64,1.08,-0.040000000000000036
27,人造,假,4.5,0.8,3.0,1.2,1.5
28,电动,甜,0.0,0.0,0.0,0.0,0.0
29,婚外,不可說出口的,3.7,1.11,1.73,2.1,1.9700000000000002
30,笨,傻,6.0,0.0,5.27,0.67,0.7300000000000004
31,个人,私人,5.6,0.69,4.27,1.07,1.33
