,word1,word2,pred_sl,pred_sd,act_sl,act_sd,pred_act_gap
0,长,狭窄,0.0,0.0,0.27,0.32,-0.27
1,内疚,羞愧,6.0,0.0,4.36,1.34,1.6399999999999997
2,暴力,被动,0.0,0.0,0.0,0.0,0.0
3,闷,平庸,0.0,0.0,0.91,1.14,-0.91
4,害羞,昂贵,0.0,0.0,0.0,0.0,0.0
5,不同,正常,0.0,0.0,0.0,0.0,0.0
6,自豪,傲慢,3.67,0.49,2.91,1.56,0.7599999999999998
7,愉快,快乐,6.0,0.0,4.91,1.03,1.0899999999999999
8,粗糙,无礼,0.0,0.0,0.45,0.85,-0.45
9,坚硬,密度大,1.13,1.51,2.55,2.04,-1.42
10,无实体,心灵,2.93,1.58,2.64,1.95,0.29000000000000004
11,开心,高兴,6.0,0.0,5.55,0.53,0.4500000000000002
12,开心,疯狂,0.8,1.01,0.91,1.49,-0.10999999999999999
13,合法,允许,4.53,1.13,2.55,1.26,1.9800000000000004
14,和蔼,残酷,0.0,0.0,0.0,0.0,0.0
15,胆大,自豪,3.67,0.49,0.73,1.07,2.94
16,坏,平庸,0.0,0.0,0.09,0.32,-0.09
17,煮熟的,水煮,6.0,0.0,2.55,1.65,3.45
18,残忍,不公平,3.67,0.49,0.45,0.67,3.2199999999999998
19,不需要,必须,0.0,0.0,0.18,0.63,-0.18
20,沈闷,枯燥,6.0,0.0,3.91,2.0,2.09
21,自由,无辜,0.0,0.0,0.09,0.32,-0.09
22,善良,大方,0.27,0.7,2.0,1.52,-1.73
23,弱,辣,0.0,0.0,0.0,0.0,0.0
24,兴奋,受惊,0.0,0.0,0.55,1.58,-0.55
25,无知,频繁,0.0,0.0,0.09,0.32,-0.09
26,怪诞,奇怪,5.2,1.01,4.64,1.08,0.5600000000000005
27,人造,假,5.2,1.01,3.0,1.2,2.2
28,电动,甜,0.0,0.0,0.0,0.0,0.0
29,婚外,不可說出口的,2.73,2.46,1.73,2.1,1.0
30,笨,傻,5.27,0.96,5.27,0.67,0.0
31,个人,私人,5.4,0.91,4.27,1.07,1.1300000000000008
32,瘦,苗条,5.2,1.01,4.45,1.35,0.75
33,奇怪,古怪,5.93,0.26,5.45,0.53,0.47999999999999954
34,灵活,松动,3.4,1.3,1.82,1.37,1.5799999999999998
35,强大,强大,6.0,0.0,4.36,0.7,1.6399999999999997
36,大,柔韧,0.0,0.0,0.27,0.67,-0.27
37,脆弱,简单,0.0,0.0,0.18,0.63,-0.18
38,粘人,缺乏信心,0.0,0.0,0.09,0.32,-0.09
39,显著的,明显,5.93,0.26,4.18,2.21,1.75
40,暴力,柔软,0.0,0.0,0.0,0.0,0.0
41,害怕,急,0.0,0.0,0.18,0.42,-0.18
42,非法,不道德,3.47,1.3,2.18,1.23,1.29
43,严酷,残酷,5.93,0.26,4.27,1.49,1.6600000000000001
44,粗糙,丑陋,3.4,1.3,0.45,0.97,2.9499999999999997
45,难以置信,普通,0.0,0.0,0.0,0.0,0.0
46,尖,平滑,0.0,0.0,0.18,0.63,-0.18
47,容易,灵活,3.0,1.36,0.45,0.85,2.55
48,满载,沉重,1.87,0.52,0.73,0.97,1.1400000000000001
49,轻松,强调,0.0,0.0,0.0,0.0,0.0
50,中性,未拿定主意,2.67,1.05,0.64,1.49,2.03
51,闻名,国民,0.0,0.0,0.0,0.0,0.0
52,乱,清洁,0.0,0.0,0.09,0.0,-0.09
53,新,新鲜,4.33,0.62,4.0,0.95,0.33000000000000007
54,孩子气,傻,3.07,0.26,2.91,1.33,0.1599999999999997
55,愉快,精彩,1.87,0.52,2.55,1.27,-0.6799999999999997
56,旧,杂,0.0,0.0,0.0,0.0,0.0
57,羞耻,心烦,1.87,0.52,0.27,0.67,1.6
58,普通,冷,0.0,0.0,0.0,0.0,0.0
59,生病,疯,0.0,0.0,0.91,2.0,-0.91
60,每月,每周,0.0,0.0,1.64,1.26,-1.64
61,仁慈地,温和地,4.0,0.0,3.36,1.71,0.6400000000000001
62,不同的,奇怪地,2.8,0.56,0.36,0.7,2.44
63,和平地,混乱,0.0,0.0,0.0,0.0,0.0
64,好心地,仁慈地,5.07,0.26,4.64,1.07,0.4300000000000006
65,显然,不显眼地,0.0,0.0,0.36,0.84,-0.36
