,word1,word2,pred_sl,pred_sd,act_sl,act_sd,pred_act_gap
0,长,狭窄,0.0,0.0,0.27,0.32,-0.27
1,内疚,羞愧,6.0,0.0,4.36,1.34,1.6399999999999997
2,暴力,被动,0.0,0.0,0.0,0.0,0.0
3,闷,平庸,0.0,0.0,0.91,1.14,-0.91
4,害羞,昂贵,0.0,0.0,0.0,0.0,0.0
5,不同,正常,0.0,0.0,0.0,0.0,0.0
6,自豪,傲慢,4.0,0.0,2.91,1.56,1.0899999999999999
7,愉快,快乐,6.0,0.0,4.91,1.03,1.0899999999999999
8,粗糙,无礼,0.0,0.0,0.45,0.85,-0.45
9,坚硬,密度大,2.93,1.03,2.55,2.04,0.38000000000000034
10,无实体,心灵,4.0,0.0,2.64,1.95,1.3599999999999999
11,开心,高兴,6.0,0.0,5.55,0.53,0.4500000000000002
12,开心,疯狂,1.73,0.7,0.91,1.49,0.82
13,合法,允许,4.13,0.52,2.55,1.26,1.58
14,和蔼,残酷,0.0,0.0,0.0,0.0,0.0
15,胆大,自豪,4.0,0.0,0.73,1.07,3.27
16,坏,平庸,0.0,0.0,0.09,0.32,-0.09
17,煮熟的,水煮,6.0,0.0,2.55,1.65,3.45
18,残忍,不公平,4.0,0.0,0.45,0.67,3.55
19,不需要,必须,0.0,0.0,0.18,0.63,-0.18
20,沈闷,枯燥,6.0,0.0,3.91,2.0,2.09
21,自由,无辜,0.0,0.0,0.09,0.32,-0.09
22,善良,大方,3.87,0.52,2.0,1.52,1.87
23,弱,辣,0.0,0.0,0.0,0.0,0.0
24,兴奋,受惊,0.0,0.0,0.55,1.58,-0.55
25,无知,频繁,0.0,0.0,0.09,0.32,-0.09
26,怪诞,奇怪,4.0,0.0,4.64,1.08,-0.6399999999999997
27,人造,假,4.13,0.35,3.0,1.2,1.13
28,电动,甜,0.0,0.0,0.0,0.0,0.0
29,婚外,不可說出口的,0.13,0.52,1.73,2.1,-1.6
30,笨,傻,4.13,0.35,5.27,0.67,-1.1399999999999997
31,个人,私人,4.13,0.35,4.27,1.07,-0.13999999999999968
32,瘦,苗条,4.0,0.0,4.45,1.35,-0.4500000000000002
33,奇怪,古怪,4.8,0.56,5.45,0.53,-0.6500000000000004
34,灵活,松动,2.2,0.41,1.82,1.37,0.3800000000000001
35,强大,强大,6.0,0.0,4.36,0.7,1.6399999999999997
36,大,柔韧,0.0,0.0,0.27,0.67,-0.27
37,脆弱,简单,0.0,0.0,0.18,0.63,-0.18
38,粘人,缺乏信心,0.0,0.0,0.09,0.32,-0.09
39,显著的,明显,4.8,0.56,4.18,2.21,0.6200000000000001
40,暴力,柔软,0.0,0.0,0.0,0.0,0.0
41,害怕,急,0.0,0.0,0.18,0.42,-0.18
42,非法,不道德,3.27,0.59,2.18,1.23,1.0899999999999999
43,严酷,残酷,5.07,0.46,4.27,1.49,0.8000000000000007
44,粗糙,丑陋,2.73,0.46,0.45,0.97,2.28
45,难以置信,普通,0.0,0.0,0.0,0.0,0.0
46,尖,平滑,0.0,0.0,0.18,0.63,-0.18
47,容易,灵活,2.13,0.35,0.45,0.85,1.68
48,满载,沉重,2.0,0.0,0.73,0.97,1.27
49,轻松,强调,0.0,0.0,0.0,0.0,0.0
50,中性,未拿定主意,2.93,0.7,0.64,1.49,2.29
51,闻名,国民,0.0,0.0,0.0,0.0,0.0
52,乱,清洁,0.0,0.0,0.09,0.0,-0.09
53,新,新鲜,4.27,0.46,4.0,0.95,0.2699999999999996
54,孩子气,傻,3.0,0.0,2.91,1.33,0.08999999999999986
55,愉快,精彩,2.0,0.0,2.55,1.27,-0.5499999999999998
56,旧,杂,0.0,0.0,0.0,0.0,0.0
57,羞耻,心烦,2.0,0.0,0.27,0.67,1.73
58,普通,冷,0.0,0.0,0.0,0.0,0.0
59,生病,疯,0.0,0.0,0.91,2.0,-0.91
60,每月,每周,0.0,0.0,1.64,1.26,-1.64
61,仁慈地,温和地,4.07,0.26,3.36,1.71,0.7100000000000004
62,不同的,奇怪地,3.07,0.26,0.36,0.7,2.71
63,和平地,混乱,0.0,0.0,0.0,0.0,0.0
64,好心地,仁慈地,5.0,0.0,4.64,1.07,0.3600000000000003
65,显然,不显眼地,0.0,0.0,0.36,0.84,-0.36
