,word1,word2,pred_sl,pred_sd,act_sl,act_sd,pred_act_gap
98,收到,接受,3.73,0.46,0.91,1.41,2.82
54,裁判官,法官,6.0,0.0,3.55,1.49,2.45
89,降低,减少,6.0,0.0,3.82,1.99,2.18
25,领导,经理,4.0,0.0,2.0,0.99,2.0
13,强大,强大,6.0,0.0,4.36,0.7,1.6399999999999997
69,规则,惯例,4.0,0.0,2.55,0.97,1.4500000000000002
79,男人,武士,2.0,0.0,0.55,0.7,1.45
17,有时,每当,2.0,0.0,0.55,1.35,1.45
80,蝙蝠,吸血鬼,2.0,0.0,0.55,0.85,1.45
36,契约,协议,6.0,0.0,4.64,0.92,1.3600000000000003
39,下面,侧面,1.47,0.92,0.18,0.42,1.29
64,尖顶,教堂,2.0,0.0,0.73,1.26,1.27
112,创建,做,2.0,0.0,0.82,1.1,1.1800000000000002
117,混合,联合,2.73,0.59,1.64,1.77,1.09
46,尾巴,后部,4.0,0.0,2.91,1.6,1.0899999999999999
57,猫,狮子,2.0,0.0,0.91,1.62,1.0899999999999999
19,紧张地,焦急地,4.8,0.41,3.82,1.56,0.98
93,装作,似乎,1.2,1.01,0.27,0.95,0.9299999999999999
52,老鹰,猎鹰,4.0,0.0,3.18,1.94,0.8199999999999998
87,蜥蜴,鳄鱼,1.2,1.01,0.45,0.97,0.75
6,笨,傻,6.0,0.0,5.27,0.67,0.7300000000000004
32,仆人,奴隶,4.0,0.0,3.36,0.97,0.6400000000000001
18,仁慈地,温和地,4.0,0.0,3.36,1.71,0.6400000000000001
109,搜索,看,1.73,0.46,1.09,1.23,0.6399999999999999
31,衣服,布料,2.07,0.26,1.45,1.58,0.6199999999999999
27,生日,日期,2.0,0.0,1.45,0.71,0.55
43,男孩,孩子,3.87,0.52,3.36,1.26,0.5100000000000002
50,牛,家牛,4.0,0.0,3.55,1.07,0.4500000000000002
58,冠军,优胜者,6.0,0.0,5.55,0.53,0.4500000000000002
0,开心,高兴,6.0,0.0,5.55,0.53,0.4500000000000002
92,逃跑,逃走,6.0,0.0,5.64,0.42,0.3600000000000003
74,花,灌木,1.0,1.0,0.64,0.95,0.36
70,音乐,旋律,4.0,0.0,3.64,1.49,0.3599999999999999
96,发光,照耀,4.0,0.0,3.73,1.2,0.27
83,飞机,喷气式飞机,3.73,0.7,3.55,1.96,0.18000000000000016
94,戏弄,伤害,0.8,1.01,0.64,1.06,0.16000000000000003
68,骨头,牙齿,0.8,1.01,0.64,0.97,0.16000000000000003
95,承诺,发誓,4.0,0.0,3.91,1.66,0.08999999999999986
110,找到,消失,0.0,0.0,0.0,0.0,0.0
111,打,吸引,0.0,0.0,0.0,0.0,0.0
115,敬礼,演出,0.0,0.0,0.0,0.0,0.0
53,一分钱,尺寸,0.0,0.0,0.0,0.0,0.0
76,洞,协议,0.0,0.0,0.0,0.0,0.0
116,拖着脚走,骑,0.0,0.0,0.0,0.0,0.0
66,自行车,卧室,0.0,0.0,0.0,0.0,0.0
65,公式,日志,0.0,0.0,0.0,0.0,0.0
12,难以置信,普通,0.0,0.0,0.0,0.0,0.0
62,红酒,酒,4.0,0.0,4.0,1.29,0.0
60,云,窗口,0.0,0.0,0.0,0.0,0.0
55,人,一分钱,0.0,0.0,0.0,0.0,0.0
30,周末,种族,0.0,0.0,0.0,0.0,0.0
22,紧紧地,难以置信地,0.0,0.0,0.0,0.0,0.0
42,多面体,演员,0.0,0.0,0.0,0.0,0.0
45,容器,老鼠,0.0,0.0,0.0,0.0,0.0
51,感觉,直觉,4.0,0.0,4.09,1.25,-0.08999999999999986
114,赦免,原谅,3.73,0.46,3.82,1.76,-0.08999999999999986
59,河流,大海,2.0,0.0,2.09,1.37,-0.08999999999999986
8,坏,平庸,0.0,0.0,0.09,0.32,-0.09
71,章,选择,0.0,0.0,0.09,0.32,-0.09
85,后世,炼狱,0.0,0.0,0.09,0.32,-0.09
38,冬天,夏天,0.0,0.0,0.09,0.32,-0.09
37,天神,魔鬼,0.0,0.0,0.09,0.32,-0.09
10,自由,无辜,0.0,0.0,0.09,0.32,-0.09
41,鼻子,嘴巴,0.0,0.0,0.09,0.32,-0.09
75,床,毯子,0.0,0.0,0.09,0.32,-0.09
100,走,发送,0.0,0.0,0.09,0.32,-0.09
88,士兵,和平,0.0,0.0,0.09,0.32,-0.09
107,离开,徘徊,0.0,0.0,0.09,0.32,-0.09
48,皇帝,宪法,0.0,0.0,0.09,0.32,-0.09
34,伞,暖炉,0.0,0.0,0.09,0.32,-0.09
4,怪诞,奇怪,4.53,0.52,4.64,1.08,-0.10999999999999943
11,害怕,急,0.0,0.0,0.18,0.42,-0.18
105,装作,想像,0.0,0.0,0.18,0.63,-0.18
7,不需要,必须,0.0,0.0,0.18,0.63,-0.18
20,理想地,实际地,0.0,0.0,0.18,0.42,-0.18
102,问,求情,0.0,0.0,0.27,0.67,-0.27
78,协议,条件,2.0,0.0,2.27,1.62,-0.27
97,收藏,保存,4.27,0.46,4.55,1.17,-0.28000000000000025
99,生活,生存,2.13,0.35,2.45,1.35,-0.3200000000000003
16,今天晚上,今天,2.0,0.0,2.36,1.51,-0.3599999999999999
40,智力,洞察力,2.0,0.0,2.36,1.49,-0.3599999999999999
24,门,走廊,0.0,0.0,0.36,0.42,-0.36
90,攻击,加剧,0.0,0.0,0.36,0.84,-0.36
113,做,赚,0.0,0.0,0.36,0.84,-0.36
67,血液,肉,0.0,0.0,0.36,0.67,-0.36
61,行动,课程,0.0,0.0,0.36,0.7,-0.36
108,捏,用拳猛击,0.0,0.0,0.36,0.84,-0.36
103,离开,忽略,0.0,0.0,0.36,0.97,-0.36
