,word1,word2,pred_sl,pred_sd,act_sl,act_sd,pred_act_gap
0,长,狭窄,1.5,0.0,0.27,0.32,1.23
1,内疚,羞愧,5.8,0.53,4.36,1.34,1.4399999999999995
2,暴力,被动,0.8,0.77,0.0,0.0,0.8
3,闷,平庸,1.5,0.0,0.91,1.14,0.59
4,害羞,昂贵,0.0,0.0,0.0,0.0,0.0
5,不同,正常,1.5,0.0,0.0,0.0,1.5
6,自豪,傲慢,3.7,1.37,2.91,1.56,0.79
7,愉快,快乐,6.0,0.0,4.91,1.03,1.0899999999999999
8,粗糙,无礼,1.5,0.0,0.45,0.85,1.05
9,坚硬,密度大,3.7,0.77,2.55,2.04,1.1500000000000004
10,无实体,心灵,4.7,0.53,2.64,1.95,2.06
11,开心,高兴,6.0,0.0,5.55,0.53,0.4500000000000002
12,开心,疯狂,1.5,0.0,0.91,1.49,0.59
13,合法,允许,5.1,0.76,2.55,1.26,2.55
14,和蔼,残酷,0.0,0.0,0.0,0.0,0.0
15,胆大,自豪,3.7,1.37,0.73,1.07,2.97
16,坏,平庸,1.5,0.0,0.09,0.32,1.41
17,煮熟的,水煮,5.4,0.76,2.55,1.65,2.8500000000000005
18,残忍,不公平,2.5,1.46,0.45,0.67,2.05
19,不需要,必须,0.0,0.0,0.18,0.63,-0.18
20,沈闷,枯燥,5.8,0.53,3.91,2.0,1.8899999999999997
21,自由,无辜,0.4,0.69,0.09,0.32,0.31000000000000005
22,善良,大方,1.5,0.0,2.0,1.52,-0.5
23,弱,辣,0.0,0.0,0.0,0.0,0.0
24,兴奋,受惊,1.5,0.0,0.55,1.58,0.95
25,无知,频繁,0.0,0.0,0.09,0.32,-0.09
26,怪诞,奇怪,4.5,0.0,4.64,1.08,-0.13999999999999968
27,人造,假,4.5,0.0,3.0,1.2,1.5
28,电动,甜,0.0,0.0,0.0,0.0,0.0
29,婚外,不可說出口的,4.3,0.77,1.73,2.1,2.57
30,笨,傻,5.1,0.76,5.27,0.67,-0.16999999999999993
31,个人,私人,5.3,0.77,4.27,1.07,1.0300000000000002
32,瘦,苗条,4.5,0.0,4.45,1.35,0.04999999999999982
33,奇怪,古怪,6.0,0.0,5.45,0.53,0.5499999999999998
34,灵活,松动,4.3,0.53,1.82,1.37,2.4799999999999995
35,强大,强大,6.0,0.0,4.36,0.7,1.6399999999999997
36,大,柔韧,0.1,0.39,0.27,0.67,-0.17
37,脆弱,简单,1.5,0.0,0.18,0.63,1.32
38,粘人,缺乏信心,1.5,0.0,0.09,0.32,1.41
39,显著的,明显,6.0,0.0,4.18,2.21,1.8200000000000003
40,暴力,柔软,0.0,0.0,0.0,0.0,0.0
41,害怕,急,1.5,0.0,0.18,0.42,1.32
42,非法,不道德,4.5,0.0,2.18,1.23,2.32
43,严酷,残酷,6.0,0.0,4.27,1.49,1.7300000000000004
44,粗糙,丑陋,4.5,0.0,0.45,0.97,4.05
45,难以置信,普通,0.0,0.0,0.0,0.0,0.0
46,尖,平滑,0.0,0.0,0.18,0.63,-0.18
47,容易,灵活,3.5,1.22,0.45,0.85,3.05
48,满载,沉重,3.9,1.24,0.73,0.97,3.17
49,轻松,强调,0.0,0.0,0.0,0.0,0.0
50,中性,未拿定主意,5.2,0.77,0.64,1.49,4.5600000000000005
51,闻名,国民,0.0,0.0,0.0,0.0,0.0
52,乱,清洁,0.0,0.0,0.09,0.0,-0.09
53,新,新鲜,5.1,0.76,4.0,0.95,1.0999999999999996
54,孩子气,傻,4.5,0.0,2.91,1.33,1.5899999999999999
55,愉快,精彩,4.1,0.89,2.55,1.27,1.5499999999999998
56,旧,杂,0.0,0.0,0.0,0.0,0.0
57,羞耻,心烦,4.1,0.89,0.27,0.67,3.8299999999999996
58,普通,冷,0.0,0.0,0.0,0.0,0.0
59,生病,疯,0.0,0.0,0.91,2.0,-0.91
60,每月,每周,1.5,0.0,1.64,1.26,-0.1399999999999999
61,仁慈地,温和地,4.5,0.0,3.36,1.71,1.1400000000000001
62,不同的,奇怪地,4.5,0.0,0.36,0.7,4.14
63,和平地,混乱,0.0,0.0,0.0,0.0,0.0
64,好心地,仁慈地,6.0,0.0,4.64,1.07,1.3600000000000003
65,显然,不显眼地,0.0,0.0,0.36,0.84,-0.36
66,大声地,微妙地,0.0,0.0,0.0,0.0,0.0
67,异常,奇怪地,4.5,0.0,3.73,1.58,0.77
68,谨慎地,有礼貌地,0.9,0.95,0.64,0.95,0.26
69,异常地,一般,0.0,0.0,0.0,0.0,0.0
70,在家里,在别处,0.0,0.0,0.36,0.84,-0.36
71,理想地,实际地,0.0,0.0,0.18,0.42,-0.18
72,通常,日常,4.5,0.0,3.18,1.62,1.3199999999999998
73,准确地,积极地,0.0,0.0,0.64,1.06,-0.64
74,今天晚上,今天,3.5,1.46,2.36,1.51,1.1400000000000001
75,两次,总是,0.0,0.0,0.0,0.0,0.0
76,最近,现实地,0.0,0.0,0.0,0.0,0.0
77,粗糙地,大致,4.5,0.0,0.91,1.56,3.59
78,死气沉沉的,高高兴兴地,0.0,0.0,0.36,0.84,-0.36
79,稍微地,大致,4.5,0.0,2.0,1.45,2.5
80,大致地,容易地,0.0,0.0,0.0,0.0,0.0
81,准确地,精确地,6.0,0.0,5.45,0.84,0.5499999999999998
82,两次,多,0.6,0.76,0.18,0.63,0.42
83,紧紧地,难以置信地,0.0,0.0,0.0,0.0,0.0
84,有时,每当,0.6,0.76,0.55,1.35,0.04999999999999993
85,极其,非常,6.0,0.0,4.55,1.58,1.4500000000000002
86,看来,显然,6.0,0.0,1.91,1.7,4.09
87,紧张地,焦急地,4.5,0.0,3.82,1.56,0.6800000000000002
88,通常,很少地,0.0,0.0,0.36,1.26,-0.36
89,有意义地,特别,0.6,0.76,3.0,1.89,-2.4
90,重要地,真实地,0.0,0.0,0.0,0.0,0.0
91,自豪的,谦逊地,0.0,0.0,0.45,0.85,-0.45
92,香芹,松饼,0.0,0.0,0.0,0.0,0.0
93,女儿,孩子,4.5,0.0,2.91,1.29,1.5899999999999999
94,闪电攻击,攻击,4.5,0.0,3.45,1.58,1.0499999999999998
95,战斗,好斗,1.5,0.0,3.0,1.62,-1.5
96,作曲家,作家,1.5,0.0,2.55,1.77,-1.0499999999999998
97,主机板,主板,6.0,0.0,3.27,2.31,2.73
98,船,车,1.5,0.0,0.36,0.48,1.1400000000000001
99,无穷,零,0.0,0.0,0.0,0.0,0.0
100,床,家俱,4.5,0.0,3.55,1.26,0.9500000000000002
101,诗,韵律,3.4,0.89,0.36,0.32,3.04
102,肚子,卧室,0.0,0.0,0.0,0.0,0.0
103,岩浆,火山,3.4,0.89,1.55,1.9,1.8499999999999999
104,碗,尾巴,0.0,0.0,0.0,0.0,0.0
105,奖学金,学费,1.5,0.0,0.73,1.55,0.77
106,政治家,总统,1.5,0.0,3.09,1.7,-1.5899999999999999
107,泡,肥皂泡沫,4.5,0.0,3.73,1.25,0.77
108,节奏,旋律,4.9,0.69,3.64,1.52,1.2600000000000002
109,校园,大学,2.6,0.89,2.82,1.4,-0.21999999999999975
110,锡,金属,4.5,0.0,2.73,1.55,1.77
111,草,刀口,0.0,0.0,0.0,0.0,0.0
112,多面体,演员,0.0,0.0,0.0,0.0,0.0
113,日期,日历,4.5,0.0,2.73,1.83,1.77
114,门,走廊,1.6,0.39,0.36,0.42,1.2400000000000002
115,皇帝,宪法,0.0,0.0,0.09,0.32,-0.09
116,丰富,许多,5.9,0.39,4.18,1.03,1.7200000000000006
117,原木,沐浴,0.0,0.0,0.0,0.0,0.0
118,雨,薄雾,1.5,0.0,0.82,1.45,0.68
119,苹果,柠檬,4.5,0.0,0.18,0.32,4.32
120,幸福,悲伤,0.0,0.0,0.0,0.0,0.0
121,走道,大厅,1.5,0.0,0.18,0.32,1.32
122,红酒,酒,4.5,0.0,4.0,1.29,0.5
123,导演,摄影,1.5,0.0,1.18,1.2,0.32000000000000006
