word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
闷,平庸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
害羞,昂贵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
不同,正常,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
自豪,傲慢,3,3,3,2,2,2,2,2,2,3,3,3,2,3,3
愉快,快乐,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
粗糙,无礼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
坚硬,密度大,3,3,2,2,2,2,2,2,2,3,2,3,2,3,3
无实体,心灵,3,3,3,2,2,2,2,2,2,3,2,2,2,3,3
开心,高兴,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
开心,疯狂,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2
合法,允许,6,5,6,6,6,6,4,6,6,6,5,5,6,6,5
和蔼,残酷,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
胆大,自豪,3,3,3,2,2,2,2,2,2,3,2,3,2,3,3
坏,平庸,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
煮熟的,水煮,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6
残忍,不公平,2,3,2,2,2,0,2,2,0,2,2,2,2,3,2
不需要,必须,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沈闷,枯燥,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6
自由,无辜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
善良,大方,2,0,0,0,2,0,0,0,0,1,1,0,2,2,1
弱,辣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
兴奋,受惊,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
无知,频繁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
怪诞,奇怪,6,5,6,6,6,6,4,6,6,6,6,5,6,6,5
人造,假,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
电动,甜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
婚外,不可說出口的,6,1,6,3,6,6,3,6,6,6,3,1,1,1,1
笨,傻,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
