word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
长,狭窄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
内疚,羞愧,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
暴力,被动,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
闷,平庸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
害羞,昂贵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
不同,正常,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
自豪,傲慢,4,4,4,3,4,4,3,4,4,4,4,3,3,3,4
愉快,快乐,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
粗糙,无礼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
坚硬,密度大,0,0,0,0,0,0,3,2,0,0,4,3,0,3,2
无实体,心灵,0,4,4,3,0,4,3,4,4,4,4,3,0,3,4
开心,高兴,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
开心,疯狂,0,0,0,2,2,2,2,2,0,0,0,0,0,0,2
合法,允许,4,4,4,6,6,4,6,6,4,4,4,3,6,3,4
和蔼,残酷,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
胆大,自豪,4,4,4,3,4,4,3,4,4,4,4,3,3,3,4
坏,平庸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
煮熟的,水煮,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
残忍,不公平,4,4,4,3,4,4,3,4,4,4,4,3,3,3,4
不需要,必须,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沈闷,枯燥,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
自由,无辜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
善良,大方,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
弱,辣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
兴奋,受惊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
无知,频繁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
怪诞,奇怪,6,6,6,6,4,4,6,4,6,4,6,6,4,6,4
人造,假,6,6,6,6,4,4,6,4,6,4,6,6,4,6,4
电动,甜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
婚外,不可說出口的,6,0,0,6,4,3,0,4,0,4,0,6,4,0,4
笨,傻,6,6,6,6,4,5,6,4,6,4,6,6,4,6,4
个人,私人,6,6,6,6,4,5,6,6,6,4,6,6,4,6,4
瘦,苗条,6,6,6,6,4,4,6,4,6,4,6,6,4,6,4
奇怪,古怪,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6
灵活,松动,6,3,3,4,2,3,0,3,4,4,3,4,4,4,4
强大,强大,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
大,柔韧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
脆弱,简单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
粘人,缺乏信心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
显著的,明显,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6
暴力,柔软,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
害怕,急,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
非法,不道德,6,3,3,4,2,3,0,4,4,4,3,4,4,4,4
严酷,残酷,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6
粗糙,丑陋,6,3,3,4,2,3,0,3,4,4,3,4,4,4,4
难以置信,普通,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
尖,平滑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
容易,灵活,0,3,3,4,2,3,0,3,4,4,3,4,4,4,4
满载,沉重,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2
轻松,强调,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中性,未拿定主意,3,2,2,2,3,4,3,3,3,4,4,2,2,0,3
闻名,国民,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
乱,清洁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
